wikidata,type,text
https://www.wikidata.org/wiki/Q335179,mit,Hipogrifo
https://www.wikidata.org/wiki/Q203480,mit,Faetonte
https://www.wikidata.org/wiki/Q36,place,Polonia
https://www.wikidata.org/wiki/Q129866,mit,monstruo de su laberinto
https://www.wikidata.org/wiki/Q16990,place,Etna
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q182790,mit,quimeras
https://www.wikidata.org/wiki/Q36,mit,Polonia
https://www.wikidata.org/wiki/Q178831,mit,Aurora
https://www.wikidata.org/wiki/Q457294,mit,Palas
https://www.wikidata.org/wiki/Q209644,mit,Flora
https://www.wikidata.org/wiki/Q178831,mit,Aurora
https://www.wikidata.org/wiki/Q209644,mit,Flora
https://www.wikidata.org/wiki/Q457294,mit,Palas
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q170770,place,Moscovia
https://www.wikidata.org/wiki/Q170770,place,Moscovia
https://www.wikidata.org/wiki/Q825,mit,dios
https://www.wikidata.org/wiki/Q36303,person,Tales
https://www.wikidata.org/wiki/Q8747,person,Euclides
https://www.wikidata.org/wiki/Q707873,person,Timantes
https://www.wikidata.org/wiki/Q192222,person,Lisipo
https://www.wikidata.org/wiki/Q302,mit,Cristo
https://www.wikidata.org/wiki/Q2054,person,Séneca
https://www.wikidata.org/wiki/Q170770,place,Moscovia
https://www.wikidata.org/wiki/Q36,place,Polonia
https://www.wikidata.org/wiki/Q36,place,Polonia
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q170770,place,Moscovia
https://www.wikidata.org/wiki/Q48444,mit,fénix
https://www.wikidata.org/wiki/Q15946621,event,concilio Niceno
https://www.wikidata.org/wiki/Q170770,place,Moscovia
https://www.wikidata.org/wiki/Q170770,place,Moscovia
https://www.wikidata.org/wiki/Q220,place,Roma
https://www.wikidata.org/wiki/Q36,place,Polonia
https://www.wikidata.org/wiki/Q170770,place,Moscovia
https://www.wikidata.org/wiki/Q190582,mit,Danae
https://www.wikidata.org/wiki/Q182019,mit,Leda
https://www.wikidata.org/wiki/Q165170,mit,Europa
https://www.wikidata.org/wiki/Q82732,mit,Eneas
https://www.wikidata.org/wiki/Q5684,place,Babilonia
https://www.wikidata.org/wiki/Q171150,place,Hungría
https://www.wikidata.org/wiki/Q171150,place,Hungría
https://www.wikidata.org/wiki/Q22647,place,Troya
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q235113,mit,ángel
https://www.wikidata.org/wiki/Q187602,mit,Circe
https://www.wikidata.org/wiki/Q174278,mit,Medea
https://www.wikidata.org/wiki/Q566,mit,Purgatorio
https://www.wikidata.org/wiki/Q564,mit,Infierno
https://www.wikidata.org/wiki/Q302,mit,Jesús
https://www.wikidata.org/wiki/Q345,mit,Virgen preñada y parida
https://www.wikidata.org/wiki/Q345,mit,Madre del 
https://www.wikidata.org/wiki/Q302,mit,Eterno Hijo
https://www.wikidata.org/wiki/Q302,mit,Eterno Hijo
https://www.wikidata.org/wiki/Q825,mit,Eterno Padre
https://www.wikidata.org/wiki/Q177413,mit,demonio
https://www.wikidata.org/wiki/Q302,mit,Jesús
https://www.wikidata.org/wiki/Q345,mit,María
https://www.wikidata.org/wiki/Q302,mit,Cristo
